Device: mps
Base model: models/base
Loaded 6657 tokenized examples
Train: 6325, Val: 332
Loading models/base...
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/288 [00:00<?, ?it/s]Loading weights: 100%|██████████| 288/288 [00:00<00:00, 6445.85it/s]
Trainable: 20,766,720 / 2,635,108,608 (0.79%)

Training: epochs 1 -> 3, 2370 steps, batch=1x8, lr=0.0002
Starting val_loss=2.7818 ppl=16.15
step  1060/2370 | train_loss 1.2342 | val_loss 1.7228 | lr 1.32e-04 | 6.79s/step | 108.0min
step  1080/2370 | train_loss 1.2185 | val_loss 1.7253 | lr 1.29e-04 | 6.07s/step | 110.0min
step  1100/2370 | train_loss 1.2663 | val_loss 1.7181 | lr 1.27e-04 | 6.99s/step | 112.3min
step  1120/2370 | train_loss 1.2051 | val_loss 1.7264 | lr 1.24e-04 | 6.35s/step | 114.4min
step  1140/2370 | train_loss 1.2281 | val_loss 1.7254 | lr 1.22e-04 | 6.07s/step | 116.5min
step  1160/2370 | train_loss 1.2257 | val_loss 1.7070 | lr 1.19e-04 | 5.99s/step | 118.5min
step  1180/2370 | train_loss 1.1278 | val_loss 1.7093 | lr 1.17e-04 | 7.20s/step | 120.9min
step  1200/2370 | train_loss 1.2407 | val_loss 1.7133 | lr 1.14e-04 | 7.16s/step | 123.2min
step  1220/2370 | train_loss 1.2391 | val_loss 1.7063 | lr 1.12e-04 | 5.97s/step | 125.2min
step  1240/2370 | train_loss 1.2138 | val_loss 1.7085 | lr 1.10e-04 | 6.02s/step | 127.2min
step  1260/2370 | train_loss 1.2314 | val_loss 1.7124 | lr 1.07e-04 | 5.79s/step | 129.2min
step  1280/2370 | train_loss 1.2397 | val_loss 1.7089 | lr 1.05e-04 | 5.77s/step | 131.1min
step  1300/2370 | train_loss 1.1148 | val_loss 1.7055 | lr 1.02e-04 | 5.71s/step | 133.0min
step  1320/2370 | train_loss 1.2084 | val_loss 1.7059 | lr 9.96e-05 | 5.73s/step | 134.9min
step  1340/2370 | train_loss 1.1698 | val_loss 1.7339 | lr 9.71e-05 | 5.73s/step | 136.8min
step  1360/2370 | train_loss 1.1551 | val_loss 1.7063 | lr 9.46e-05 | 5.75s/step | 138.7min
step  1380/2370 | train_loss 1.1128 | val_loss 1.7101 | lr 9.22e-05 | 5.76s/step | 140.6min
step  1400/2370 | train_loss 1.1888 | val_loss 1.6940 | lr 8.97e-05 | 5.69s/step | 142.5min
step  1420/2370 | train_loss 1.1409 | val_loss 1.6984 | lr 8.73e-05 | 5.70s/step | 144.4min
